@relation review

@attribute sentence string
@attribute aspect {character,plot,neither}

@data
'This was the best so far',neither
'I loved it ',neither
'MARAUDERS ',neither
'MARAUDERS ',neither
'MARAUDERS ',neither
'So excited to read this book',neither
'U U U U U U U UA U UD UF U U UCC U UF U UC U U U U U U U U UF U U U UCC UC U UF U U U U U UA U U U UF UUD UA UCC U U U UCC U U UC U U U UCC UA UA U U U U U UF U UCC UA U U U U U UF U U U UF U UA U UF U U UA U U U UF U U U UA UCC U U UCC UA U UF U UU U UCC U U U U UD U U U U U UCC UA U U U U U U U U UA U U U U UF UA U U UA U UA U U U U UA UCC U U U U U U U U U U UCC U U U UF ',neither
'U U U UA U U UD UA U U U UF U U UF U U UF U U UE U U U UF U U U UCC U UCC UC U UF U U U U UA UCC U U U UCC U UC U UF U U UA U UA U UA U UU U U UCC U UCC U UA UA U U UC U U U UF UA UA U UE U U UCC U U U U UA U UE UCC U UCC UC U U U U U U U UF U U UF U U UCC U U UFU UA U U U U UA UE UCC U UCC UE UCC U UCC U UCC U UF UCC UA U UCC U U UCC U U UA UF U U U UCC UA U U U UA UCC U U U UA U U U U UA U U UA U U UCC UA U UF U U U U U U U UCC UA U U U U UA U U U U U UA U U U U U U U U UF U UCC UA UC U UF U UA U U U U U UA U UF U U U U U U UF U U U U U UC U UF UA UA U U U U UCU U U U U U U UA U UD UF U U UCC U UF U UC U U U U U U U U UF U U U UCC UC U UF U U U U U UA U U U UF UUD UA UCC U U U UCC U U UC U U U UCC UA UA U U U U U UF U UCC UA U U U U U UF U U U UF U UA U UF U U UA U U U UF U U U UA UCC U U UCC UA U UF U UU U UCC U U U U UD U U U U U UCC UA U U U U U U U U UA U U U U UF UA U U UA U UA U U U U UA UCC U U U U U U U U U U UCC U U U UF ',neither
'U U U UA U U UD UA U U U UF U U UF U U UF U U UE U U U UF U U U UCC U UCC UC U UF U U U U UA UCC U U U UCC U UC U UF U U UA U UA U UA U UU U U UCC U UCC U UA UA U U UC U U U UF UA UA U UE U U UCC U U U U UA U UE UCC U UCC UC U U U U U U U UF U U UF U U UCC U U UFU UA U U U U UA UE UCC U UCC UE UCC U UCC U UCC U UF UCC UA U UCC U U UCC U U UA UF U U U UCC UA U U U UA UCC U U U UA U U U U UA U U UA U U UCC UA U UF U U U U U U U UCC UA U U U U UA U U U U U UA U U U U U U U U UF U UCC UA UC U UF U UA U U U U U UA U UF U U U U U U UF U U U U U UC U UF UA UA U U U U UC U U UF U U UAU U U U UCC UC U U U U U U U U U U U UCC UA UA U U U U UCC U U UA U UF U UD U U U U U U U U U U U UCC U U UF UA U U U U U U U UA U U U U U U U UF U U UA UU U UCC UF U U UF UCC UA U UF U U UD U U U U U U UCC UD U U U UAF UCC U UCC UE U U U UF U U UE UCC U U UCC U U UA U UA U U U U U U UCC U U UA U U U U U UCC U UCC U U UFU U U UA U U U U UF U U UD U UCC UE U UA U U U U UC U U UCC U U U U UD U U UC U UF U U UA UA U UC U U U UA U UCC U UA U UA U U UA U U U U UFUE U U U U U U UA U UF U U UA U UU UCC U UC U UF UC UCC UA U UE U UCC UA UC U U U U UF U U UA UF U U UA U UCC U U U U U U U UE UCC U UF U U UF UA U UA U U UCC U U U U U UA U UC U UF U U U U UF U U U UCC UA U UFU U UCC UD UA UCC U UC U UF U UE U UCC UA U U UCC UE UCC U UCC UE U U U U U U U UB U U UCC U U UF U UA U U U U U U U U U UCC U UCC U U U U UCC U U UCC UF U U UA U U U UAF U U UU UCC U UCC UA UF U U UA U U UA UE UCC U UCC U U UA U U U U U UCC UF U UF U U UCC UF U U UA U U UA UE UCC U UCC U U UCC UF U U U U U U U U U U UF U U UA U U UA U U U U UF U U UA U U U U U UF ',neither
'U UA U U U U UF U UF U UCC U UCC UF U U UA U U U U UCC UA UE UCC U UCC U U UCC UE U UA U UCC UA UCC U U U U UA U UCC U U UF U UCC U UA U UCC U UF U UCC U U U U U UF U U UF U UF U U UA UB U U U U U UF U UA U U U U UA U U U U U U UF U UCC U UF U UCC U UCC UA UE UCC U UCC U U U UF U U U UF U U U U UB U U U U U U U U UE UF U U UF U U UCC U UC U UF UCC UA UCC U U U UA U U U U UA UCC U U UA UA U U UCC U U U U U UCC U U UF U U U U U U UCC UA U UF U U U U U U U U UCC U U U U U U UF U U U U U UD U U U UCC U U U U U U U U U UA U U UF U U UCC U U UF ',neither
